family ID,family name,subfamily name,taxon range,Amborella trichopoda,Arabidopsis thaliana,Brachypodium distachyon,Brassica napus,Brassica rapa subsp. Pekinensis,Capsicum annuum,Chlamydomonas reinhardtii,Citrus sinensis,Cucumis sativus,Erythranthe guttata,Eucalyptus grandis,Glycine max,Gossypium hirsutum,Helianthus annuus,Hordeum vulgare subsp. vulgare,Juglans regia,Lactuca sativa,Manihot esculenta,Medicago truncatula,Musa acuminata subsp. malaccensis,Nelumbo nucifera,Nicotiana tabacum,Oryza sativa,Ostreococcus tauri,Phoenix dactylifera,Physcomitrella patens,Populus trichocarpa,Prunus persica,Ricinus communis,Selaginella moellendorffii,Setaria italica,Solanum lycopersicum,Solanum tuberosum,Sorghum bicolor,Spinacia oleracea,Theobroma cacao,Triticum aestivum,Vitis vinifera,Zea mays,Zostera marina,Caenorhabditis elegans,Danio rerio,Dictyostelium discoideum,Drosophila melanogaster,Escherichia coli,Homo sapiens,Mus musculus,Rattus norvegicus,Saccharomyces cerevisiae,Schizosaccharomyces pombe,GO terms (F),GO terms (P)
PTHR31400,GUANYLYL CYCLASE DOMAIN CONTAINING PROTEIN 1 GUCD1,PROTEIN GUCD1|GUANYLYL CYCLASE-RELATED|,Eukaryota,1,1,1,0,0,1,1,2,1,1,3,2,4,2,1,1,2,1,1,1,1,2,1,0,1,2,2,1,1,2,1,1,0,1,1,1,3,1,9,1,0,1,1,1,0,1,1,1,0,0,guanylate cyclase activity|protein binding,cGMP biosynthetic process
PTHR31403,"PHOSPHOLIPASE A1-IBETA2, CHLOROPLASTIC","PHOSPHOLIPASE A1-IBETA2, CHLOROPLASTIC|PHOSPHOLIPASE A1-IGAMMA2, CHLOROPLASTIC|LIPASE_3 DOMAIN-CONTAINING PROTEIN|PHOSPHOLIPASE A1-IGAMMA1, CHLOROPLASTIC|PHOSPHOLIPASE A(1) DAD1, CHLOROPLASTIC|C2 DOMAIN-CONTAINING PROTEIN|PHOSPHOLIPASE A1-IALPHA2, CHLOROPLASTIC|PHOSPHOLIPASE A1 EG1, CHLOROPLASTIC/MITOCHONDRIAL|GALACTOLIPASE DONGLE, CHLOROPLASTIC|BNAA05G35290D PROTEIN|PHOSPHOLIPASE A1-IGAMMA3, CHLOROPLASTIC|",Embryophyta,10,9,6,20,0,12,0,8,10,7,9,18,30,13,11,11,9,12,9,15,10,22,14,0,11,7,13,7,7,2,21,15,14,13,5,9,30,11,14,6,0,0,0,0,0,0,0,0,0,0,galactolipase activity|phospholipase A1 activity|phospholipase activity|triglyceride lipase activity,defense response to fungus|floral meristem determinacy|floral organ formation|jasmonic acid biosynthetic process|leaf senescence|lipid metabolic process|negative regulation of cell growth|response to wounding|seed coat development|thylakoid membrane organization|triglyceride catabolic process
PTHR31407,FAMILY NOT NAMED,"PSBP-LIKE PROTEIN 1, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 3, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 7, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 6, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 2, CHLOROPLASTIC|SAP DOMAIN-CONTAINING PROTEIN|OXYGEN-EVOLVING ENHANCER PROTEIN 2-1, CHLOROPLASTIC|OXYGEN-EVOLVING ENHANCER PROTEIN 2-2-RELATED|OXYGEN-EVOLVING ENHANCER PROTEIN 2, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN|PSBP DOMAIN-CONTAINING PROTEIN 5, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC|THYLAKOID LUMENAL 19 KDA PROTEIN, CHLOROPLASTIC|PSBP DOMAIN-CONTAINING PROTEIN 1, CHLOROPLASTIC|PHOTOSYNTHETIC NDH SUBUNIT OF LUMENAL LOCATION 1, CHLOROPLASTIC|",Viridiplantae,13,13,13,19,0,13,11,12,12,14,14,27,24,13,10,13,11,15,14,14,12,30,17,13,13,18,19,12,12,17,17,13,13,12,12,12,36,12,14,14,0,0,0,0,0,0,0,0,0,0,mRNA binding|poly(U) RNA binding|protein binding,defense response to bacterium|photosystem I assembly
PTHR31409,WASH COMPLEX SUBUNIT 4,WASH COMPLEX SUBUNIT 4|,Eukaryota,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,,actin filament polymerization|endosomal transport|endosome organization|exocytosis|phagosome reneutralization|positive regulation of cell adhesion|protein localization to lysosome|regulation of autophagy
PTHR31412,ZINC METALLOPROTEASE EGY1,"ZINC METALLOPROTEASE EGY2, CHLOROPLASTIC-RELATED|ZINC METALLOPROTEASE EGY1, CHLOROPLASTIC-RELATED|ZINC METALLOPEPTIDASE EGY3, CHLOROPLASTIC-RELATED|",Viridiplantae,3,3,3,6,0,3,2,3,3,3,3,5,7,6,3,3,3,3,7,3,3,5,3,1,3,7,4,3,3,4,4,2,3,3,5,3,9,3,4,2,0,0,0,0,0,0,0,0,0,0,metalloendopeptidase activity,chloroplast organization|gravitropism|negative gravitropism|photosystem I assembly|photosystem II assembly|response to ammonium ion|response to cation stress|response to ethylene|response to light stimulus|thylakoid membrane organization
PTHR31413,AFP HOMOLOG 2,NINJA-FAMILY PROTEIN AFP1|AFP HOMOLOG 2|JAS DOMAIN-CONTAINING PROTEIN|NINJA-FAMILY PROTEIN MODD|NINJA-FAMILY PROTEIN OS03G0419100|SUBFAMILY NOT NAMED|NINJA-FAMILY PROTEIN AFP1-LIKE ISOFORM X1|NINJA-FAMILY PROTEIN AFP2|BNAC08G40190D PROTEIN|BNAC06G30430D PROTEIN|NUCLEAR TRANSPORT FACTOR 2/RNA RECOGNITION MOTIF PROTEIN|ETHYLENE-RESPONSIVE BINDING FACTOR-ASSOCIATED REPRESSION-RELATED|NINJA-FAMILY PROTEIN AFP3|NINJA-FAMILY PROTEIN AFP4|,Embryophyta,2,6,8,13,0,7,0,6,4,5,4,12,14,10,4,8,6,8,5,13,4,14,4,0,8,3,7,4,5,4,6,30,11,5,4,5,17,5,11,4,0,0,0,0,0,0,0,0,0,0,protein binding,"jasmonic acid mediated signaling pathway|negative regulation of abscisic acid-activated signaling pathway|negative regulation of transcription, DNA-templated|regulation of leaf morphogenesis|regulation of starch biosynthetic process|response to abscisic acid|response to jasmonic acid|response to salt stress|response to water deprivation"
PTHR31414,TRANSMEMBRANE PROTEIN DDB_G0292058,TRANSMEMBRANE PROTEIN DDB_G0292058|SUBFAMILY NOT NAMED|OS11G0264500 PROTEIN|TRANSMEMBRANE PROTEIN|BNAA09G07310D PROTEIN|MPN DOMAIN-CONTAINING PROTEIN|OS04G0644000 PROTEIN|OS06G0645600 PROTEIN|ENVELOPE GLYCOPROTEIN B|BNAC06G40440D PROTEIN|BNAA09G08220D PROTEIN|,Eukaryota,5,5,6,14,0,8,1,5,5,5,9,17,19,12,4,8,8,8,6,8,6,15,6,1,5,8,8,6,7,8,10,8,7,6,5,7,18,7,6,7,0,0,3,0,0,0,0,0,0,0,,
PTHR31415,OS05G0367900 PROTEIN,"LEA_2 DOMAIN-CONTAINING PROTEIN|TRANSMEMBRANE PROTEIN|LEA_2 DOMAIN-CONTAINING PROTEIN-RELATED|NDR1/HIN1-LIKE PROTEIN 1|OS11G0587400 PROTEIN|OS09G0532200 PROTEIN|LATE EMBRYOGENESIS ABUNDANT (LEA) HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY-RELATED|SUBFAMILY NOT NAMED|BNAC05G32280D PROTEIN|NDR1-LIKE PROTEIN|NDR1/HIN1-LIKE PROTEIN 26|NDR1/HIN1-LIKE PROTEIN 10|OS08G0102551 PROTEIN|FHA DOMAIN-CONTAINING PROTEIN|OS04G0114300 PROTEIN|OS01G0864632 PROTEIN|HIN1|NDR1/HIN1-LIKE PROTEIN 2|NDR1/HIN1-LIKE PROTEIN 3|HARPIN-INDUCED 1|PROTEIN, PUTATIVE-RELATED|PROTEIN YLS9-LIKE|HARPIN INDUCING PROTEIN 1-LIKE 9|",Embryophyta,9,21,26,36,0,17,0,10,18,31,21,41,35,21,26,27,27,13,40,18,22,24,24,0,19,2,19,25,8,1,52,12,18,29,15,8,131,7,39,17,0,0,0,0,0,0,0,0,0,0,"DNA-binding transcription factor activity, RNA polymerase II-specific|RNA polymerase II cis-regulatory region sequence-specific DNA binding|mRNA binding|magnesium-dependent protein serine/threonine phosphatase activity|protein binding","defense response to bacterium|defense response to bacterium, incompatible interaction|defense response to fungus, incompatible interaction|defense response to virus|defense response, incompatible interaction|leaf senescence|plant-type hypersensitive response|positive regulation of cell death|protein dephosphorylation|regulation of transcription by RNA polymerase II|response to bacterium|response to salicylic acid|response to wounding"
PTHR31419,PROTEIN PIN-LIKES 2,PROTEIN PIN-LIKES 2|AUXIN EFFLUX CARRIER FAMILY PROTEIN-RELATED|PROTEIN PIN-LIKES 2-LIKE|SUBFAMILY NOT NAMED|PROTEIN PIN-LIKES 6|BNAANNG15560D PROTEIN|,Viridiplantae,2,2,3,2,0,3,2,4,2,3,3,4,7,6,4,5,3,4,3,4,3,10,3,0,3,7,7,3,3,6,2,2,2,2,3,3,9,5,2,2,0,0,0,0,0,0,0,0,0,0,auxin efflux transmembrane transporter activity,auxin homeostasis|lateral root formation|regulation of growth rate|response to auxin
PTHR31421,FAMILY NOT NAMED,PROTEIN BASIC PENTACYSTEINE3|PROTEIN BASIC PENTACYSTEINE6|PROTEIN BASIC PENTACYSTEINE4|PROTEIN BASIC PENTACYSTEINE5|BNAA06G37280D PROTEIN|BNAA01G05230D PROTEIN|BARLEY B RECOMBINANT-LIKE PROTEIN D|BNAC04G22230D PROTEIN|BNAA09G38320D PROTEIN|PROTEIN BASIC PENTACYSTEINE7|BARLEY B RECOMBINANT-LIKE PROTEIN A|PROTEIN BASIC PENTACYSTEINE1-RELATED|BNAA06G09500D PROTEIN|BNAA08G31470D PROTEIN|PROTEIN BASIC PENTACYSTEINE2-LIKE|,Tracheophyta,2,7,3,16,0,10,0,3,4,7,5,10,11,7,2,10,8,6,2,12,6,13,3,0,8,0,16,3,4,2,5,6,6,4,4,4,6,6,3,5,0,0,0,0,0,0,0,0,0,0,DNA binding|DNA-binding transcription factor activity|protein binding|protein homodimerization activity|sequence-specific DNA binding,"regulation of developmental process|regulation of transcription, DNA-templated|response to ethylene"
PTHR31422,BNAANNG28530D PROTEIN,GTD-BINDING DOMAIN-CONTAINING PROTEIN|GTD-BINDING DOMAIN-CONTAINING PROTEIN-RELATED|PROTEIN FLOURY 1|OS07G0162200 PROTEIN|OS11G0575900 PROTEIN|MYOSIN-BINDING PROTEIN 7-LIKE|PROTEIN FLOURY 1-LIKE|OS08G0269000 PROTEIN|,Tracheophyta,5,9,9,17,0,10,0,6,5,5,5,16,17,9,8,7,6,12,8,9,5,16,8,0,8,0,8,5,6,2,13,6,7,8,4,5,27,4,12,9,0,0,0,0,0,0,0,0,0,0,myosin XI tail binding|myosin binding|protein binding|protein serine/threonine kinase activity|ubiquitin conjugating enzyme binding|ubiquitin protein ligase activity,positive regulation of proteasomal ubiquitin-dependent protein catabolic process|protein autophosphorylation|protein polyubiquitination|ubiquitin-dependent protein catabolic process
PTHR31423,YBAK DOMAIN-CONTAINING PROTEIN,PROLYL-TRNA SYNTHETASE ASSOCIATED DOMAIN-CONTAINING PROTEIN 1-RELATED|TRNA_EDIT DOMAIN-CONTAINING PROTEIN|,Eukaryota,1,1,1,4,0,1,1,1,1,1,1,3,4,1,1,2,1,1,1,1,1,2,1,0,1,1,2,1,1,0,2,1,1,1,1,1,3,1,1,1,0,2,0,0,0,1,1,1,0,0,,
PTHR31425,PHOSPHORIBOSYLANTHRANILATE TRANSFERASE ISOFORM 1,FT-INTERACTING PROTEIN 1|PROTEIN QUIRKY|C2 DOMAIN-CONTAINING PROTEIN|SUBFAMILY NOT NAMED|C2 CALCIUM/LIPID-BINDING PLANT PHOSPHORIBOSYLTRANSFERASE FAMILY PROTEIN|PHOSPHORIBOSYLANTHRANILATE TRANSFERASE|OS01G0585300 PROTEIN|PHOSPHORIBOSYLANTHRANILATE TRANSFERASE ISOFORM 1|,Viridiplantae,0,0,5,2,0,4,2,3,0,1,3,0,4,2,1,1,5,3,1,2,1,2,3,1,2,2,5,2,0,1,4,5,4,3,3,4,16,0,18,1,0,0,0,0,0,0,0,0,0,0,,
PTHR31426,GROUP II INTRON SPLICING FACTOR CRS1-LIKE,"CRM-DOMAIN CONTAINING FACTOR CFM9, MITOCHONDRIAL|CRM DOMAIN-CONTAINING PROTEIN|OS04G0492900 PROTEIN|",Embryophyta,5,4,4,7,0,5,0,5,4,4,4,10,8,4,3,6,4,4,5,4,5,12,4,0,4,1,5,4,4,1,7,5,5,4,5,4,13,4,5,5,0,0,0,0,0,0,0,0,0,0,,
PTHR31429,WRKY TRANSCRIPTION FACTOR 36-RELATED,WRKY TRANSCRIPTION FACTOR 72-RELATED|WRKY TRANSCRIPTION FACTOR 40-RELATED|WRKY DOMAIN-CONTAINING PROTEIN|WRKY TRANSCRIPTION FACTOR WRKY71|WRKY TRANSCRIPTION FACTOR WRKY28|WRKY TRANSCRIPTION FACTOR WRKY62|WRKY DOMAIN-CONTAINING PROTEIN-RELATED|OS01G0185900 PROTEIN|WRKY TRANSCRIPTION FACTOR 36-RELATED|WRKY TRANSCRIPTION FACTOR 61-RELATED|WRKY TRANSCRIPTION FACTOR 72B|WRKY TRANSCRIPTION FACTOR 9-RELATED|WRKY TRANSCRIPTION FACTOR 31-RELATED|WRKY TRANSCRIPTION FACTOR 47-RELATED|OS01G0246700 PROTEIN|WRKY TRANSCRIPTION FACTOR 6|WRKY TRANSCRIPTION FACTOR 42|,Embryophyta,6,12,10,20,0,11,0,10,8,13,18,47,43,17,9,22,12,22,19,30,13,24,12,0,15,6,14,11,13,0,17,14,12,13,6,11,42,11,19,7,0,0,0,0,0,0,0,0,0,0,ATPase activity|DNA-binding transcription factor activity|identical protein binding|promoter-specific chromatin binding|protein binding,"cellular response to boron-containing substance deprivation|cellular response to heat|cellular response to phosphate starvation|defense response|defense response to bacterium|defense response to fungus|negative regulation of defense response to bacterium|negative regulation of gibberellic acid mediated signaling pathway|negative regulation of transcription, DNA-templated|regulation of antifungal innate immune response|regulation of defense response|regulation of defense response to virus by host|response to abscisic acid|response to bacterium|response to chitin|response to cold|response to ethylene|response to fungus|response to gibberellin|response to jasmonic acid|response to molecule of bacterial origin|response to molecule of fungal origin|response to salicylic acid|response to salt stress|response to water deprivation|response to wounding"
PTHR31431,NUCLEOPORIN NUP188 HOMOLOG,NUCLEOPORIN NUP188 HOMOLOG|,Eukaryota,1,1,1,1,0,2,1,3,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,4,2,0,1,2,1,3,2,1,1,0,1,0,1,0,1,1,1,1,1,structural constituent of nuclear pore,RNA export from nucleus|mRNA export from nucleus|mRNA export from nucleus in response to heat stress|nuclear pore organization|protein import into nucleus|regulation of G2/M transition of mitotic cell cycle
PTHR31432,INTRAFLAGELLAR TRANSPORT PROTEIN 74 HOMOLOG,INTRAFLAGELLAR TRANSPORT PROTEIN 74 HOMOLOG|,Eukaryota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,beta-tubulin binding|chromatin binding|protein binding,Notch signaling pathway|chemotaxis|cilium assembly|detection of stimulus involved in sensory perception|determination of left/right symmetry|epidermis development|gastrulation|heart development|intraciliary transport|intraciliary transport involved in cilium assembly|keratinocyte development|multicellular organism growth|negative regulation of epithelial cell proliferation|non-motile cilium assembly|positive regulation of cell adhesion mediated by integrin|positive regulation of transcription by RNA polymerase II|pronephric proximal tubule development
PTHR31434,S PHASE CYCLIN A-ASSOCIATED PROTEIN IN THE ENDOPLASMIC RETICULUM,S PHASE CYCLIN A-ASSOCIATED PROTEIN IN THE ENDOPLASMIC RETICULUM|,Eukaryota,1,0,1,0,0,1,1,4,1,1,1,2,0,1,1,1,1,1,1,1,1,4,1,0,1,2,1,1,1,2,1,1,2,1,1,1,4,1,1,0,1,1,0,1,0,1,1,1,0,0,protein binding,
PTHR31435,PROTEIN NATD1,PROTEIN NATD1|N-ACETYLTRANSFERASE DOMAIN-CONTAINING PROTEIN|,LUCA,1,2,0,1,0,2,0,1,1,1,3,1,2,4,1,2,1,1,1,1,1,2,1,0,2,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,0,histone acetyltransferase activity|protein binding,
PTHR31437,SREK1IP1 FAMILY MEMBER,PROTEIN SREK1IP1|,Eukaryota,2,1,1,2,0,1,1,0,1,2,4,2,1,1,1,3,1,2,0,1,2,3,2,0,2,1,1,1,1,2,2,1,1,2,1,2,4,1,2,1,1,1,0,1,0,1,1,2,0,0,DNA-binding transcription factor activity|identical protein binding|protein binding|sequence-specific DNA binding,"positive regulation of calcium ion transport|regulation of transcription, DNA-templated"
PTHR31439,EXPRESSED PROTEIN,EXPRESSED PROTEIN|NEURONAL PAS DOMAIN PROTEIN|OS07G0231800 PROTEIN|SUBFAMILY NOT NAMED|,Embryophyta,2,3,2,2,0,2,0,2,3,2,3,6,3,3,3,2,3,2,3,4,3,4,3,0,4,12,2,2,2,0,2,2,3,2,2,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,,
PTHR31442,HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED,HTH MYB-TYPE DOMAIN-CONTAINING PROTEIN|OS01G0844900 PROTEIN|SUBFAMILY NOT NAMED|TWO-COMPONENT RESPONSE REGULATOR ORR26|TRANSCRIPTION FACTOR MYBC1|HTH MYB-TYPE DOMAIN-CONTAINING PROTEIN-RELATED|TRANSCRIPTION FACTOR BOA-RELATED|TWO-COMPONENT RESPONSE REGULATOR ORR21-LIKE|TWO-COMPONENT RESPONSE REGULATOR ARR12-LIKE|RESPONSE REGULATORY DOMAIN-CONTAINING PROTEIN|,Viridiplantae,2,6,7,5,0,9,3,2,4,8,3,12,8,13,3,5,9,4,2,8,5,11,4,1,8,4,5,3,2,1,7,9,16,3,4,2,11,4,7,4,0,0,0,0,0,0,0,0,0,0,DNA-binding transcription factor activity,circadian rhythm|positive regulation of circadian rhythm|regulation of flower development|regulation of gene expression|response to cold
PTHR31444,OS11G0490100 PROTEIN,POLYSACC_SYNT_4 DOMAIN-CONTAINING PROTEIN|PROTEIN IRX15-LIKE|PROTEIN IRREGULAR XYLEM 15|GLUCURONOXYLAN 4-O-METHYLTRANSFERASE 1|GLUCURONOXYLAN 4-O-METHYLTRANSFERASE 2-RELATED|,Embryophyta,6,10,7,17,0,10,0,6,6,8,12,19,24,12,9,12,10,12,8,10,6,20,8,0,7,1,11,8,7,4,10,10,8,6,8,6,26,9,14,4,0,0,0,0,0,0,0,0,0,0,glucuronoxylan 4-O-methyltransferase activity|protein binding,lignin metabolic process|plant-type cell wall modification|plant-type secondary cell wall biogenesis|polysaccharide metabolic process|protein methylation|xylan biosynthetic process|xylan metabolic process
PTHR31446,ACID PHOSPHATASE/VANADIUM-DEPENDENT HALOPEROXIDASE-RELATED PROTEIN,ACID PHOSPHATASE/VANADIUM-DEPENDENT HALOPEROXIDASE-RELATED PROTEIN|OS08G0127500 PROTEIN|OS04G0486900 PROTEIN|PHOSPHATIDIC ACID PHOSPHATASE TYPE 2/HALOPEROXIDASE-RELATED|SUBFAMILY NOT NAMED|BNAA08G19060D PROTEIN|BNAA09G39460D PROTEIN|ACID PHOSPHATASE/VANADIUM-DEPENDENT HALOPEROXIDASE-RELATED PROTEIN-RELATED|BNAA03G36360D PROTEIN|ACID PHOSPHATASE/VANADIUM-DEPENDENT HALOPEROXIDASE|,Viridiplantae,4,4,6,13,0,4,2,5,4,5,5,8,9,12,6,7,7,7,5,7,7,9,5,3,7,6,8,5,6,5,7,5,5,6,4,4,16,5,14,3,0,0,0,0,0,0,0,0,0,0,,
PTHR31447,HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN-RELATED,"FE2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN|RNA DEMETHYLASE ALKBH9B|HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN|RNA DEMETHYLASE ALKBH10B|OXIDOREDUCTASE, 2OG-FE(II) OXYGENASE FAMILY PROTEIN-RELATED|OXIDOREDUCTASE|OXIDOREDUCTASE, 2OG-FE(II) OXYGENASE FAMILY PROTEIN|BNAC05G10890D PROTEIN|BNAA09G45520D PROTEIN|",Tracheophyta,8,6,4,13,0,6,0,4,4,5,4,11,12,7,8,8,7,7,7,8,7,13,3,0,9,0,8,4,4,8,5,6,6,5,3,4,13,4,4,4,0,0,0,0,0,0,0,0,0,0,RNA N6-methyladenosine dioxygenase activity|demethylase activity|mRNA binding|protein binding,demethylation|mRNA catabolic process|oxidative RNA demethylation|response to karrikin|vegetative to reproductive phase transition of meristem
PTHR31448,MYOSIN-BINDING PROTEIN 2,MYOSIN-BINDING PROTEIN 6-RELATED|GTD-BINDING DOMAIN-CONTAINING PROTEIN|MYOSIN-BINDING PROTEIN 5-RELATED|MYOSIN-BINDING PROTEIN 1|MYOSIN-BINDING PROTEIN 4-RELATED|MYOSIN-BINDING PROTEIN 2|MYOSIN-BINDING PROTEIN 3|MYOSIN-BINDING PROTEIN 2-LIKE|,Embryophyta,3,6,8,16,0,7,0,5,5,7,3,12,13,15,6,8,7,8,5,7,6,15,6,0,4,6,10,6,6,3,14,6,6,8,5,5,23,5,9,4,0,0,0,0,0,0,0,0,0,0,myosin XI tail binding|myosin binding,
PTHR31451,FAMILY NOT NAMED,"MANNAN ENDO-1,4-BETA-MANNOSIDASE 7|MANNAN ENDO-1,4-BETA-MANNOSIDASE 2|MANNAN ENDO-1,4-BETA-MANNOSIDASE 6|MANNAN ENDO-1,4-BETA-MANNOSIDASE|MANNAN ENDO-1,4-BETA-MANNOSIDASE 5|MANNAN ENDO-1,4-BETA-MANNOSIDASE 8|MANNAN ENDO-1,4-BETA-MANNOSIDASE 4|MANNAN ENDO-1,4-BETA-MANNOSIDASE 3-RELATED|MANNAN ENDO-1,4-BETA-MANNOSIDASE 1|CELLULASE DOMAIN-CONTAINING PROTEIN|",Eukaryota,10,8,7,10,0,18,6,7,7,12,11,21,13,13,12,10,9,8,18,18,7,25,10,3,16,9,12,5,6,8,12,17,15,8,5,6,27,15,8,4,0,0,0,0,0,0,0,0,0,0,"mannan endo-1,4-beta-mannosidase activity",detoxification of cadmium ion|fruit dehiscence|fruit valve development|mannan metabolic process|plant-type cell wall loosening|response to cadmium ion|seed germination
PTHR31458,POLYGALACTURONASE 1 BETA-LIKE PROTEIN 2,POLYGALACTURONASE 1 BETA-LIKE PROTEIN 2|BURP DOMAIN-CONTAINING PROTEIN 14|BURP DOMAIN-CONTAINING PROTEIN|POLYGALACTURONASE NON-CATALYTIC SUBUNIT AROGP3|POLYGALACTURONASE NON-CATALYTIC SUBUNIT AROGP2|POLYGALACTURONASE 1 BETA-LIKE PROTEIN 1-RELATED|POLYGALACTURONASE NON-CATALYTIC PROTEIN|,Tracheophyta,1,3,2,5,0,7,0,4,2,4,12,8,5,4,3,2,2,6,16,3,2,6,3,0,3,0,4,3,3,3,3,7,9,2,2,2,7,3,2,1,0,0,0,0,0,0,0,0,0,0,,
PTHR31459,FAMILY NOT NAMED,OS03G0843300 PROTEIN|OS01G0225600 PROTEIN|DESICCATION-RELATED PROTEIN LEA14-RELATED|LEA_2 DOMAIN-CONTAINING PROTEIN|WHY DOMAIN-CONTAINING PROTEIN|LATE EMBRYOGENESIS ABUNDANT PROTEIN LEA14-1|LATE EMBRYOGENESIS ABUNDANT PROTEIN GROUP 2|CHILLING-RESPONSIVE PROTEIN|LATE EMBRYOGENESIS ABUNDANT PROTEIN|,Embryophyta,4,3,5,6,0,6,0,3,2,5,2,8,6,4,7,7,5,3,4,4,4,9,4,0,4,3,3,5,2,8,6,5,5,5,2,2,14,4,6,3,0,0,0,0,0,0,0,0,0,0,,defense response to fungus|response to cadmium ion|response to high light intensity|response to wounding
PTHR31460,FAMILY NOT NAMED,NHL DOMAIN-CONTAINING PROTEIN|NHL DOMAIN-CONTAINING PROTEIN-RELATED|SGL DOMAIN-CONTAINING PROTEIN|NHL DOMAIN PROTEIN|,Embryophyta,2,4,2,4,0,3,0,3,1,1,4,4,9,3,2,3,2,4,8,1,3,5,4,0,2,1,3,2,2,4,3,3,3,2,2,2,5,2,4,2,0,0,0,0,0,0,0,0,0,0,,
PTHR31465,PROTEIN RTA1-RELATED,PROTEIN RTA1-RELATED|SPHINGOID LONG-CHAIN BASE TRANSPORTER RSB1|,Eukaryota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,,culmination involved in sorocarp development|heme transmembrane transport|phospholipid translocation|sphingoid long-chain base transport
PTHR31469,OS07G0633600 PROTEIN,O-FUCOSYLTRANSFERASE FAMILY PROTEIN|PLANT/PROTEIN|BNACNNG20370D PROTEIN|BNACNNG45830D PROTEIN|EXPRESSED PROTEIN|SUBFAMILY NOT NAMED|OS01G0805100 PROTEIN|PHOSPHORIBOSYLANTHRANILATE ISOMERASE|,Embryophyta,3,5,5,5,0,5,0,4,3,4,4,6,11,7,3,9,3,5,3,9,4,9,5,0,5,2,5,4,3,6,6,4,6,5,4,3,11,3,12,5,0,0,0,0,0,0,0,0,0,0,calcium ion binding,
PTHR31470,CYSTEINE PROTEINASES SUPERFAMILY PROTEIN-RELATED-RELATED,DUF1985 DOMAIN-CONTAINING PROTEIN|ULP_PROTEASE DOMAIN-CONTAINING PROTEIN|,Pentapetalae,0,4,0,1,0,485,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PTHR31471,OS02G0116800 PROTEIN,REMORIN_C DOMAIN-CONTAINING PROTEIN|PROTEASOME ENDOPEPTIDASE COMPLEX|OS09G0456100 PROTEIN|BNACNNG56300D PROTEIN|REMORIN 4.1|REMORIN 4.2|REMORIN FAMILY PROTEIN|,Embryophyta,8,11,16,22,0,13,0,9,11,11,10,31,26,21,17,19,18,13,12,18,12,26,15,0,21,16,15,10,9,5,25,11,9,15,10,9,41,9,29,6,0,0,0,0,0,0,0,0,0,0,aldose 1-epimerase activity|kinase binding|protein binding|protein self-association,abscisic acid-activated signaling pathway|galactose catabolic process via UDP-galactose|glucose metabolic process|negative regulation of brassinosteroid mediated signaling pathway|response to abscisic acid|response to mannitol|response to salt stress|response to water deprivation
